"","id","H_2","score"
"1","0949205b",-0.114567972239644,3
"2","0c63312a",-0.285256881836831,4
"3","13959265",-0.223918352349777,2.5
"4","15dde81f",-0.249622226805111,3
"5","1686e65a",-0.0351100215232014,4.5
"6","1b5a2340",-0.51742775340774,4
"7","1cd86e70",-0.185118247806498,3.5
"8","214992f5",-0.152664900313819,1.5
"9","2191981f",-0.576481051708772,3.5
"10","2294b205",-0.073839965280099,4
"11","25c5a18a",-0.027235283723487,4
"12","2a829632",-0.315683977784858,4
"13","2b9d70b2",-1.10039517199115,3
"14","31bfbe30",-0.0561461791973537,4
"15","32521404",-1.33225190616861,1.5
"16","3bfdb870",-0.0454421850222411,4
"17","421595e4",-0.0831287703802176,5.5
"18","46d71c87",-0.0821021671077895,2.5
"19","489902fe",-0.564755894747096,3
"20","48ff8d38",-0.353457421534016,5.5
"21","494fdf3e",-0.567699417577798,4.5
"22","4c5b9963",-0.0503544798554341,4.5
"23","55e7ce9c",-0.127087803493486,1.5
"24","56464b89",-0.0403830459865842,4
"25","56586ecf",-0.354374520962759,4
"26","5e4e767b",-0.387539786160191,2
"27","5f43564c",-0.628914246150721,4
"28","638c64e3",-0.0208630051032963,1.5
"29","69021be9",-0.129281963059667,3
"30","6cc7b04e",-0.173332841781528,3.5
"31","6e1048f2",-0.0494019895614297,2.5
"32","6e561dc9",-0.421625866561692,4
"33","7173050a",-0.046192896652621,4
"34","7569b6be",-0.334405273974204,3
"35","75f9383c",-0.26372763316838,4.5
"36","7a8eb928",-0.037295298449386,4
"37","7ad93a2e",-0.0332391956573841,4.5
"38","7be4f0ec",-0.0282560911512375,3.5
"39","8294f230",-0.0721446086719016,1
"40","88e4475d",-1.11549920962646,1
"41","8dffc9eb",-0.0219189713489258,2.5
"42","946479b3",-0.330712578236909,3
"43","96ff9891",-0.162912305528063,3
"44","9af83860",-0.161030481179268,5
"45","9bb707cb",-0.288190633161419,2.5
"46","9f1c3e52",-0.022857509528552,3.5
"47","a435ad82",-0.016750325687821,4
"48","a466bdbd",-0.166424902199222,3.5
"49","a4e91a31",-0.233553876245115,4.5
"50","a709392d",-1.01524365327698,4
"51","ab101095",-0.460403552167554,2.5
"52","b09dfe31",-0.463091943866259,3
"53","b61221f1",-0.0675653164821384,4
"54","b7c571ee",-0.17701707283633,3.5
"55","baf60693",-0.736149557080969,3
"56","be24dd5d",-1.22628297478215,3.5
"57","c0b955dd",-0.408560496873281,3
"58","cb36a061",-1.31699183176318,3
"59","cc995d97",-0.232116129015959,4
"60","d35975fa",-0.174407001976389,3.5
"61","d3c36263",-0.0579586033417924,4.5
"62","d4008a98",-0.4206278630947,1
"63","d641a64d",-1.04468566286695,3
"64","d6892916",-0.263328415164994,4.5
"65","d93bd869",-0.145044703439143,3
"66","de5a1b34",-0.0927577946273418,4
"67","dfcdeed7",-0.00111440417438404,3
"68","e8f1926a",-0.241219840942241,2
"69","e937b66e",-0.578200259140043,5
"70","ece37736",-0.16144249537104,4
"71","f30d37f9",-0.634885741985538,2
"72","f3e59808",-0.203474003937164,4
"73","f3fcf7ad",-0.235710965442064,4.5
"74","f8699abe",-0.708571098147978,5
"75","fedefb50",-0.511022052881249,4
